v1,v2,v3,v4,v5,v6
21.0,16.46,160.0,110,3.9,4
21.0,17.02,160.0,110,3.9,4
22.8,18.61,108.0,93,3.85,1
21.4,19.44,258.0,110,3.08,1
18.7,17.02,360.0,175,3.15,2
18.1,20.22,225.0,105,2.76,1
14.3,15.84,360.0,245,3.21,4
24.4,20.0,146.7,62,3.69,2
22.8,22.9,140.8,95,3.92,2
19.2,18.3,167.6,123,3.92,4
17.8,18.9,167.6,123,3.92,4
16.4,17.4,275.8,180,3.07,3
17.3,17.6,275.8,180,3.07,3
15.2,18.0,275.8,180,3.07,3
10.4,17.98,472.0,205,2.93,4
10.4,17.82,460.0,215,3.0,4
14.7,17.42,440.0,230,3.23,4
32.4,19.47,78.7,66,4.08,1
30.4,18.52,75.7,52,4.93,2
33.9,19.9,71.1,65,4.22,1
21.5,20.01,120.1,97,3.7,1
15.5,16.87,318.0,150,2.76,2
15.2,17.3,304.0,150,3.15,2
13.3,15.41,350.0,245,3.73,4
19.2,17.05,400.0,175,3.08,2
27.3,18.9,79.0,66,4.08,1
26.0,16.7,120.3,91,4.43,2
30.4,16.9,95.1,113,3.77,2
15.8,14.5,351.0,264,4.22,4
19.7,15.5,145.0,175,3.62,6
15.0,14.6,301.0,335,3.54,8
21.4,18.6,121.0,109,4.11,2
